Unique_Squirrel_Id,Latitude,Longitude,Shift,Date,Age,Location,Specific_Location,Primary_Fur_Color,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
36A-PM-1013-07,40.7955419,-73.96077014,PM,2018-10-13,,Ground Plane,"""FIELD""",Gray,False,True,False,False,False,Chasing #8,False,False,False,False,False,False,False,True
5C-AM-1006-05,40.77058462,-73.97640365,AM,2018-10-06,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
32E-PM-1017-03,40.79081933,-73.95892496,PM,2018-10-17,Adult,Above Ground,bottom of tree,Gray,False,False,False,True,False,Still,False,False,False,False,False,False,True,False
31A-PM-1017-04,40.79176854,-73.96346234,PM,2018-10-17,Adult,Ground Plane,,Gray,False,False,False,True,True,,False,False,False,False,False,False,False,False
42G-AM-1018-03,40.79784491,-73.95211102,AM,2018-10-18,Adult,Ground Plane,,Gray,True,False,False,False,False,Stop To Look At Meâ€”Then Ran,False,False,False,False,False,False,False,True
37D-PM-1014-04,40.79500136,-73.9574809,PM,2018-10-14,Adult,Ground Plane,,Gray,False,True,False,False,True,Chasing (A Chipmunk),False,False,False,False,False,False,False,True
24B-AM-1013-01,40.78541193,-73.96709759,AM,2018-10-13,,Above Ground,,Gray,True,False,False,True,False,Took Nut To Bury,False,False,False,False,True,False,False,True
7G-AM-1010-02,40.77019416,-73.97113188,AM,2018-10-10,Adult,Above Ground,,Gray,True,False,False,False,False,,False,False,False,False,True,False,False,True
5C-PM-1010-13,40.77054093,-73.97632434,PM,2018-10-10,Adult,Above Ground,way up a tree!,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,False
15I-AM-1008-01,40.77551819,-73.96517545,AM,2018-10-08,Adult,Above Ground,tree,Gray,False,False,True,True,False,,False,False,False,False,False,False,True,False
19B-PM-1018-01,40.781574,-73.97001006,PM,2018-10-18,Adult,Above Ground,,Gray,True,False,False,False,False,Flying,False,False,False,False,False,False,False,False
13D-PM-1018-10,40.77623855,-73.97190562,PM,2018-10-18,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,True,False,True,False
36I-PM-1007-10,40.79228962,-73.95300409,PM,2018-10-07,Juvenile,Ground Plane,,Gray,False,False,False,True,False,Stole (Found?) An Entire Sandwich,False,False,False,False,False,False,True,False
41B-AM-1010-06,40.79884873,-73.95720938,AM,2018-10-10,Adult,Above Ground,,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,False
35B-AM-1010-01,40.79395811,-73.96077463,AM,2018-10-10,Adult,Ground Plane,lawn,Gray,False,False,False,False,False,Walking W/ Something In Mouth,False,False,False,False,False,False,True,False
40D-PM-1013-01,40.79739234,-73.9566346,PM,2018-10-13,Adult,Ground Plane,,Gray,True,False,False,False,False,,False,False,False,False,False,False,False,False
38B-PM-1018-02,40.79638268,-73.95920389,PM,2018-10-18,Adult,Ground Plane,,Gray,False,False,False,False,True,Burying Nut,False,False,False,False,False,False,False,False
40I-AM-1018-01,40.79508133,-73.95111187,AM,2018-10-18,Adult,Ground Plane,,Cinnamon,True,False,False,False,True,Begging,False,False,False,False,False,False,False,False
7B-AM-1008-10,40.77295376,-73.97699398,AM,2018-10-08,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
13D-AM-1014-08,40.77633104,-73.97125278,AM,2018-10-14,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,True
16G-AM-1010-03,40.77726246,-73.96711471,AM,2018-10-10,Adult,Ground Plane,,Gray,False,False,False,False,True,Was Hanging Out W/ #2 Until I Showed Up,True,False,False,False,False,False,False,True
40A-AM-1010-03,40.79825979,-73.95886603,AM,2018-10-10,Adult,Ground Plane,bottom of great hill,Gray,False,False,False,True,True,,False,False,False,True,False,False,True,True
15I-PM-1012-07,40.77618418,-73.96516015,PM,2018-10-12,Adult,Ground Plane,,Cinnamon,True,False,False,False,True,,False,False,False,False,False,False,False,False
3B-PM-1007-11,40.76937118,-73.97921555,PM,2018-10-07,Adult,Above Ground,in tree,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,False
21D-AM-1008-02,40.78287789,-73.96641005,AM,2018-10-08,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,True,False,True,False
10B-PM-1014-05,40.77484671,-73.97462291,PM,2018-10-14,Adult,Ground Plane,,Gray,False,False,False,True,True,,False,False,False,False,True,False,False,False
13E-PM-1008-07,40.7761093,-73.9705093,PM,2018-10-08,Adult,Ground Plane,,Gray,False,False,False,True,True,,False,False,False,False,False,False,True,False
41A-PM-1007-06,40.79977082,-73.95816559,PM,2018-10-07,Adult,Ground Plane,,Black,True,False,True,True,False,,False,False,False,False,False,False,False,True
2F-AM-1006-05,40.76629923,-73.97555608,AM,2018-10-06,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,False
20B-AM-1007-01,40.78282081,-73.96964335,AM,2018-10-07,Adult,Ground Plane,,Gray,False,False,False,False,True,Quietly,False,False,False,False,False,False,True,False
26A-PM-1006-06,40.78789643,-73.96647116,PM,2018-10-06,Adult,Ground Plane,Tree 90th left 90th & 89,Gray,False,False,True,False,False,,False,False,False,True,False,False,False,False
35E-PM-1006-07,40.79337553,-73.95759438,PM,2018-10-06,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,True
11G-PM-1013-01,40.77288774,-73.96941681,PM,2018-10-13,Adult,Above Ground,In the Woods/Brush,Gray,False,False,True,False,True,,False,False,False,False,False,False,False,True
36I-PM-1007-13,40.79258078,-73.95286825,PM,2018-10-07,Adult,Ground Plane,,Gray,False,False,False,True,False,,False,False,False,False,True,True,False,False
7A-AM-1006-01,40.7724665,-73.97824171,AM,2018-10-06,Adult,Above Ground,in tree,Gray,False,False,False,False,True,,False,True,False,False,True,False,False,False
7G-PM-1018-03,40.77007508,-73.97214429,PM,2018-10-18,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,False
14E-AM-1008-05,40.77698846,-73.96984738,AM,2018-10-08,Adult,Above Ground,,Gray,False,False,True,False,False,Nest Building,False,False,False,False,False,False,True,False
3D-PM-1010-03,40.76848382,-73.97686528,PM,2018-10-10,Adult,Ground Plane,,Cinnamon,False,False,False,False,False,,False,False,False,False,False,False,False,False
